fecha,matchup,hom_team,away_team,hom_pitcher,away_pitcher,park_factor,hom_runs,away_runs,total_runs,ml_local_%,ml_visitante_%,cuota_local,cuota_visitante,pick_ev,stake_rec
2026-09-20,Philadelphia Phillies @ New York Mets,New York Mets,Philadelphia Phillies,Jonah Tong,Cristopher Sánchez,0.94,4.04,4.61,8.17,49.7,50.3,2.3600000000000003,1.617283950617284,Local (+EV 17.3%),3.2%
2026-09-20,Kansas City Royals @ Pittsburgh Pirates,Pittsburgh Pirates,Kansas City Royals,Lake Bachar,Michael Wacha,0.95,4.37,4.08,8.72,53.2,46.8,1.847457627118644,2.0,Sin Valor Claro,0%
2026-09-20,Chicago Cubs @ Cincinnati Reds,Cincinnati Reds,Chicago Cubs,Rhett Lowder,David Peterson,1.12,3.55,5.24,9.2,44.8,55.2,2.3,1.6493506493506493,Local (+EV 3.0%),0.6%
2026-09-20,Athletics @ Cleveland Guardians,Cleveland Guardians,Athletics,Gavin Williams,Jack Perkins,0.94,4.66,4.11,8.79,51.8,48.2,1.4081632653061225,3.0,Visitante (+EV 44.6%),5.6%
2026-09-20,Boston Red Sox @ Tampa Bay Rays,Tampa Bay Rays,Boston Red Sox,Griffin Jax,Patrick Sandoval,0.93,4.05,3.92,8.2,57.5,42.5,1.6451612903225805,2.2800000000000002,Sin Valor Claro,0%
2026-09-20,Atlanta Braves @ Houston Astros,Houston Astros,Atlanta Braves,Hunter Brown,Martín Pérez,0.98,3.67,3.86,7.92,52.8,47.2,1.6849315068493151,2.24,Visitante (+EV 5.7%),1.2%
2026-09-20,Detroit Tigers @ Chicago White Sox,Chicago White Sox,Detroit Tigers,Davis Martin,Troy Melton,1.0,3.71,3.87,8.39,50.8,49.2,1.8620689655172413,1.9803921568627452,Sin Valor Claro,0%
2026-09-20,Washington Nationals @ St. Louis Cardinals,St. Louis Cardinals,Washington Nationals,Quinn Mathews,Jake Irvin,0.99,4.97,4.19,9.12,54.4,45.6,1.7692307692307692,2.1,Sin Valor Claro,0%
2026-09-20,Toronto Blue Jays @ Texas Rangers,Texas Rangers,Toronto Blue Jays,Jacob deGrom,Spencer Miles,1.02,4.08,4.47,8.35,50.8,49.2,1.5952380952380953,2.42,Visitante (+EV 19.1%),3.4%
2026-09-20,Seattle Mariners @ Colorado Rockies,Colorado Rockies,Seattle Mariners,Tomoyuki Sugano,Kade Anderson,1.35,5.09,5.3,10.34,45.2,54.8,2.38,1.6097560975609757,Local (+EV 7.6%),1.4%
2026-09-20,Minnesota Twins @ Los Angeles Angels,Los Angeles Angels,Minnesota Twins,Ryan Johnson,Dean Kremer,0.96,5.48,3.85,7.87,55.2,44.8,2.04,1.819672131147541,Local (+EV 12.6%),3.0%
2026-09-20,San Francisco Giants @ Los Angeles Dodgers,Los Angeles Dodgers,San Francisco Giants,TBD,Matt Wilkinson,1.01,4.68,4.04,8.27,50.5,49.5,1.3703703703703702,3.2,Visitante (+EV 58.4%),6.6%
2026-09-20,Miami Marlins @ San Diego Padres,San Diego Padres,Miami Marlins,Walker Buehler,Sandy Alcantara,0.92,4.28,4.17,8.36,52.6,47.4,1.6944444444444444,2.2199999999999998,Visitante (+EV 5.2%),1.1%
2026-09-20,New York Yankees @ Arizona Diamondbacks,Arizona Diamondbacks,New York Yankees,Corbin Burnes,Will Warren,0.97,4.19,4.35,8.87,49.3,50.7,1.847457627118644,2.0,Sin Valor Claro,0%
2026-09-20,Milwaukee Brewers @ Baltimore Orioles,Baltimore Orioles,Milwaukee Brewers,Brandon Young,Jacob Misiorowski,1.02,4.22,4.31,8.19,46.7,53.3,2.8,1.4651162790697674,Local (+EV 30.8%),4.3%
