fecha,matchup,hom_team,away_team,hom_pitcher,away_pitcher,park_factor,hom_runs,away_runs,total_runs,ml_local_%,ml_visitante_%,cuota_local,cuota_visitante,pick_ev,stake_rec
2026-09-15,Los Angeles Dodgers @ Cincinnati Reds,Cincinnati Reds,Los Angeles Dodgers,Rhett Lowder,Yoshinobu Yamamoto,1.12,4.7,4.7,8.74,45.4,54.6,2.95,1.4149377593360997,Local (+EV 33.9%),4.3%
2026-09-15,Athletics @ Tampa Bay Rays,Tampa Bay Rays,Athletics,Griffin Jax,Jack Perkins,0.93,5.13,4.2,9.06,60.6,39.4,1.4201680672268908,2.9299999999999997,Visitante (+EV 15.4%),2.0%
2026-09-15,Chicago White Sox @ Cleveland Guardians,Cleveland Guardians,Chicago White Sox,Foster Griffin,Davis Martin,0.94,3.98,4.22,8.47,53.0,47.0,1.6451612903225805,2.2800000000000002,Visitante (+EV 7.2%),1.4%
2026-09-15,Milwaukee Brewers @ Pittsburgh Pirates,Pittsburgh Pirates,Milwaukee Brewers,Lake Bachar,Jacob Misiorowski,0.95,4.72,4.1,9.02,53.7,46.3,2.8,1.4651162790697674,Local (+EV 50.4%),7.0%
2026-09-15,Philadelphia Phillies @ Washington Nationals,Washington Nationals,Philadelphia Phillies,Jackson Kent,Cristopher Sánchez,0.97,4.45,4.97,8.79,46.3,53.7,2.77,1.4608294930875576,Local (+EV 28.3%),4.0%
2026-09-15,Detroit Tigers @ Toronto Blue Jays,Toronto Blue Jays,Detroit Tigers,Braydon Fisher,Drew Anderson,0.98,4.07,4.2,8.48,51.1,48.9,1.7462686567164178,2.16,Visitante (+EV 5.6%),1.2%
2026-09-15,Baltimore Orioles @ New York Mets,New York Mets,Baltimore Orioles,Sean Manaea,Shane Baz,0.94,4.59,4.24,8.91,53.9,46.1,1.7352941176470589,2.13,Sin Valor Claro,0%
2026-09-15,Atlanta Braves @ Chicago Cubs,Chicago Cubs,Atlanta Braves,Kevin Gausman,Martín Pérez,1.04,4.63,4.16,9.43,51.9,48.1,1.6993006993006992,2.19,Visitante (+EV 5.3%),1.1%
2026-09-15,New York Yankees @ Minnesota Twins,Minnesota Twins,New York Yankees,Bailey Ober,Max Fried,1.0,3.6,4.14,8.22,38.3,61.7,2.52,1.5434782608695652,Sin Valor Claro,0%
2026-09-15,San Francisco Giants @ St. Louis Cardinals,St. Louis Cardinals,San Francisco Giants,Andre Pallante,Blade Tidwell,0.99,4.01,4.09,8.28,48.0,52.0,1.5952380952380953,2.38,Visitante (+EV 23.8%),4.3%
2026-09-15,Boston Red Sox @ Texas Rangers,Texas Rangers,Boston Red Sox,TBD,Patrick Sandoval,1.02,3.73,3.51,7.92,52.9,47.1,1.9615384615384617,1.8928571428571428,Local (+EV 3.8%),1.0%
2026-09-15,Kansas City Royals @ Houston Astros,Houston Astros,Kansas City Royals,Hunter Brown,Michael Wacha,0.98,4.26,4.05,8.76,58.1,41.9,1.5952380952380953,2.3899999999999997,Sin Valor Claro,0%
2026-09-15,San Diego Padres @ Colorado Rockies,Colorado Rockies,San Diego Padres,Kyle Freeland,Walker Buehler,1.35,4.79,6.1,11.3,46.2,53.8,2.59,1.5154639175257731,Local (+EV 19.7%),3.1%
2026-09-15,Seattle Mariners @ Los Angeles Angels,Los Angeles Angels,Seattle Mariners,Ryan Johnson,Logan Gilbert,0.96,4.35,4.28,9.26,50.7,49.3,2.44,1.5747126436781609,Local (+EV 23.7%),4.1%
2026-09-15,Miami Marlins @ Arizona Diamondbacks,Arizona Diamondbacks,Miami Marlins,Michael Soroka,Janson Junk,0.97,4.52,3.85,8.93,56.1,43.9,1.641025641025641,2.29,Sin Valor Claro,0%
