fecha,matchup,hom_team,away_team,hom_pitcher,away_pitcher,park_factor,hom_runs,away_runs,total_runs,ml_local_%,ml_visitante_%,cuota_local,cuota_visitante,pick_ev,stake_rec
2026-09-09,Minnesota Twins @ Detroit Tigers,Detroit Tigers,Minnesota Twins,Keider Montero,Zebby Matthews,0.95,4.02,4.33,8.33,47.4,52.6,1.8333333333333335,2.02,Visitante (+EV 6.3%),1.5%
2026-09-09,Toronto Blue Jays @ Athletics,Athletics,Toronto Blue Jays,Brady Basso,Braydon Fisher,0.96,4.69,5.01,10.19,50.2,49.8,2.5,1.5617977528089888,Local (+EV 25.5%),4.2%
2026-09-09,St. Louis Cardinals @ San Francisco Giants,San Francisco Giants,St. Louis Cardinals,Blade Tidwell,Andre Pallante,0.95,3.92,4.09,8.68,52.1,47.9,2.0,1.847457627118644,Local (+EV 4.2%),1.1%
2026-09-09,Washington Nationals @ San Diego Padres,San Diego Padres,Washington Nationals,Walker Buehler,Jackson Kent,0.92,4.15,3.81,8.77,57.2,42.8,1.526315789473684,2.6,Visitante (+EV 11.3%),1.8%
2026-09-09,Texas Rangers @ Seattle Mariners,Seattle Mariners,Texas Rangers,Kade Anderson,Cody Bradford,0.91,3.99,4.05,8.3,51.5,48.5,1.641025641025641,2.3200000000000003,Visitante (+EV 12.5%),2.4%
2026-09-09,Cleveland Guardians @ Baltimore Orioles,Baltimore Orioles,Cleveland Guardians,Shane Baz,Foster Griffin,1.02,5.57,3.54,7.47,51.2,48.8,1.9615384615384617,1.8928571428571428,Sin Valor Claro,0%
2026-09-09,Houston Astros @ Philadelphia Phillies,Philadelphia Phillies,Houston Astros,Cristopher Sánchez,Hunter Brown,1.06,4.78,4.3,8.62,48.8,51.2,1.6493506493506493,2.3,Visitante (+EV 17.8%),3.4%
2026-09-09,New York Mets @ Miami Marlins,Miami Marlins,New York Mets,Janson Junk,Robert Stock,0.93,4.55,3.94,8.6,51.5,48.5,1.8064516129032258,2.06,Sin Valor Claro,0%
2026-09-09,Los Angeles Angels @ Boston Red Sox,Boston Red Sox,Los Angeles Angels,Jake Bennett,Ryan Johnson,1.08,4.16,4.25,8.54,48.6,51.4,1.4651162790697674,2.8,Visitante (+EV 43.9%),6.1%
2026-09-09,Colorado Rockies @ New York Yankees,New York Yankees,Colorado Rockies,Will Warren,Tomoyuki Sugano,0.98,4.93,3.83,8.62,58.6,41.4,1.4081632653061225,3.0,Visitante (+EV 24.2%),3.0%
2026-09-09,Tampa Bay Rays @ Atlanta Braves,Atlanta Braves,Tampa Bay Rays,TBD,Griffin Jax,1.01,4.21,4.62,8.7,52.4,47.6,1.8064516129032258,2.06,Sin Valor Claro,0%
2026-09-09,Arizona Diamondbacks @ Kansas City Royals,Kansas City Royals,Arizona Diamondbacks,Daniel Lynch IV,Zac Gallen,1.05,3.97,4.32,8.68,47.0,53.0,2.04,1.819672131147541,Sin Valor Claro,0%
2026-09-09,Pittsburgh Pirates @ Chicago White Sox,Chicago White Sox,Pittsburgh Pirates,Davis Martin,Lake Bachar,1.0,4.02,4.03,8.51,52.2,47.8,1.7352941176470589,2.16,Visitante (+EV 3.2%),0.7%
2026-09-09,Chicago Cubs @ Milwaukee Brewers,Milwaukee Brewers,Chicago Cubs,Logan Henderson,Kevin Gausman,0.99,4.5,5.2,9.84,55.8,44.2,1.7462686567164178,2.16,Sin Valor Claro,0%
2026-09-09,Cincinnati Reds @ Los Angeles Dodgers,Los Angeles Dodgers,Cincinnati Reds,Yoshinobu Yamamoto,Rhett Lowder,1.01,4.58,3.9,8.45,60.2,39.8,1.3389830508474576,3.4,Visitante (+EV 35.3%),3.7%
