fecha,matchup,hom_team,away_team,hom_pitcher,away_pitcher,park_factor,hom_runs,away_runs,total_runs,ml_local_%,ml_visitante_%,cuota_local,cuota_visitante,pick_ev,stake_rec
2026-09-13,Colorado Rockies @ Detroit Tigers,Detroit Tigers,Colorado Rockies,Jackson Jobe,Gabriel Hughes,0.95,4.4,4.27,8.65,55.1,44.9,1.5434782608695652,2.54,Visitante (+EV 14.0%),2.3%
2026-09-13,Los Angeles Angels @ Washington Nationals,Washington Nationals,Los Angeles Angels,Jake Irvin,Grayson Rodriguez,0.97,4.68,3.99,8.95,53.5,46.5,1.8064516129032258,2.06,Sin Valor Claro,0%
2026-09-13,Philadelphia Phillies @ Atlanta Braves,Atlanta Braves,Philadelphia Phillies,Grant Holmes,Andrew Painter,1.01,3.76,4.05,8.69,48.3,51.7,1.7692307692307692,2.1,Visitante (+EV 8.6%),1.9%
2026-09-13,New York Mets @ New York Yankees,New York Yankees,New York Mets,Cam Schlittler,Christian Scott,0.98,4.93,4.08,8.42,55.5,44.5,1.5434782608695652,2.54,Visitante (+EV 13.0%),2.1%
2026-09-13,Baltimore Orioles @ Toronto Blue Jays,Toronto Blue Jays,Baltimore Orioles,Dylan Cease,Trevor Rogers,0.98,3.78,4.26,8.22,53.3,46.7,1.6756756756756757,2.26,Visitante (+EV 5.5%),1.1%
2026-09-13,Houston Astros @ Tampa Bay Rays,Tampa Bay Rays,Houston Astros,Freddy Peralta,Hayden Wesneski,0.93,4.66,4.0,8.67,52.8,47.2,1.7462686567164178,2.1399999999999997,Sin Valor Claro,0%
2026-09-13,Los Angeles Dodgers @ Miami Marlins,Miami Marlins,Los Angeles Dodgers,Eury Pérez,Emmet Sheehan,0.93,4.27,4.36,8.32,45.1,54.9,2.1799999999999997,1.704225352112676,Sin Valor Claro,0%
2026-09-13,Cleveland Guardians @ Minnesota Twins,Minnesota Twins,Cleveland Guardians,Joe Ryan,Tanner Bibee,1.0,3.5,3.55,7.81,47.2,52.8,1.8064516129032258,2.06,Visitante (+EV 8.8%),2.1%
2026-09-13,Cincinnati Reds @ Milwaukee Brewers,Milwaukee Brewers,Cincinnati Reds,Robert Gasser,Chase Burns,0.99,5.2,4.58,9.39,54.0,46.0,1.5434782608695652,2.54,Visitante (+EV 16.8%),2.7%
2026-09-13,Chicago White Sox @ St. Louis Cardinals,St. Louis Cardinals,Chicago White Sox,Michael McGreevy,TBD,0.99,4.31,4.49,9.13,45.8,54.2,2.08,1.7936507936507935,Sin Valor Claro,0%
2026-09-13,Pittsburgh Pirates @ Chicago Cubs,Chicago Cubs,Pittsburgh Pirates,Matthew Boyd,Bubba Chandler,1.04,4.78,4.33,9.2,49.2,50.8,1.641025641025641,2.3200000000000003,Visitante (+EV 17.9%),3.4%
2026-09-13,Kansas City Royals @ Boston Red Sox,Boston Red Sox,Kansas City Royals,Payton Tolle,Noah Cameron,1.08,4.72,3.68,8.81,58.4,41.6,1.5434782608695652,2.54,Visitante (+EV 5.7%),0.9%
2026-09-13,Seattle Mariners @ Athletics,Athletics,Seattle Mariners,Jacob Lopez,Bryce Miller,0.96,4.05,5.09,9.95,44.2,55.8,2.1399999999999997,1.7462686567164178,Sin Valor Claro,0%
2026-09-13,Texas Rangers @ Arizona Diamondbacks,Arizona Diamondbacks,Texas Rangers,Eduardo Rodriguez,Cal Quantrill,0.97,4.11,4.21,8.62,47.5,52.5,1.7692307692307692,2.1,Visitante (+EV 10.3%),2.3%
2026-09-13,San Diego Padres @ San Francisco Giants,San Francisco Giants,San Diego Padres,Logan Webb,Nick Pivetta,0.95,4.36,4.01,8.8,53.0,47.0,2.08,1.7936507936507935,Local (+EV 10.2%),2.4%
