fecha,matchup,hom_team,away_team,hom_pitcher,away_pitcher,park_factor,hom_runs,away_runs,total_runs,ml_local_%,ml_visitante_%,cuota_local,cuota_visitante,pick_ev,stake_rec
2026-09-16,Chicago White Sox @ Cleveland Guardians,Cleveland Guardians,Chicago White Sox,Parker Messick,Anthony Kay,0.94,4.31,4.22,8.64,45.4,54.6,1.617283950617284,2.3600000000000003,Visitante (+EV 28.9%),5.3%
2026-09-16,San Francisco Giants @ St. Louis Cardinals,St. Louis Cardinals,San Francisco Giants,Matthew Liberatore,Anthony Molina,0.99,4.01,3.88,8.45,51.7,48.3,1.617283950617284,2.3600000000000003,Visitante (+EV 14.0%),2.6%
2026-09-16,New York Yankees @ Minnesota Twins,Minnesota Twins,New York Yankees,Zebby Matthews,Carlos Rodón,1.0,3.64,4.24,8.5,44.3,55.7,2.2800000000000002,1.6578947368421053,Sin Valor Claro,0%
2026-09-16,Detroit Tigers @ Toronto Blue Jays,Toronto Blue Jays,Detroit Tigers,Max Scherzer,Keider Montero,0.98,4.27,4.18,8.49,51.2,48.8,1.7575757575757576,2.12,Visitante (+EV 3.5%),0.8%
2026-09-16,Los Angeles Dodgers @ Cincinnati Reds,Cincinnati Reds,Los Angeles Dodgers,Andrew Abbott,Blake Snell,1.12,3.95,4.24,8.53,41.3,58.7,2.8,1.4651162790697674,Local (+EV 15.6%),2.2%
2026-09-16,Athletics @ Tampa Bay Rays,Tampa Bay Rays,Athletics,Nick Martinez,Brady Basso,0.93,5.08,4.32,9.4,65.7,34.3,1.5747126436781609,2.46,Local (+EV 3.5%),1.5%
2026-09-16,Milwaukee Brewers @ Pittsburgh Pirates,Pittsburgh Pirates,Milwaukee Brewers,Jared Jones,Logan Henderson,0.95,4.5,4.17,8.96,56.0,44.0,2.1,1.7692307692307692,Local (+EV 17.6%),4.0%
2026-09-16,Philadelphia Phillies @ Washington Nationals,Washington Nationals,Philadelphia Phillies,Jared Simpson,Zack Wheeler,0.97,4.65,4.64,9.38,45.0,55.0,2.6399999999999997,1.510204081632653,Local (+EV 18.8%),2.9%
2026-09-16,Baltimore Orioles @ New York Mets,New York Mets,Baltimore Orioles,Robert Stock,Chris Bassitt,0.94,4.1,4.2,8.67,55.5,44.5,1.7692307692307692,2.1,Sin Valor Claro,0%
2026-09-16,Atlanta Braves @ Chicago Cubs,Chicago Cubs,Atlanta Braves,Shota Imanaga,JR Ritchie,1.04,4.77,4.2,9.83,52.4,47.6,1.641025641025641,2.3200000000000003,Visitante (+EV 10.4%),2.0%
2026-09-16,Boston Red Sox @ Texas Rangers,Texas Rangers,Boston Red Sox,MacKenzie Gore,Jake Bennett,1.02,4.05,3.85,8.13,52.0,48.0,1.925925925925926,1.8928571428571428,Sin Valor Claro,0%
2026-09-16,Kansas City Royals @ Houston Astros,Houston Astros,Kansas City Royals,Cristian Javier,Daniel Lynch IV,0.98,4.32,4.11,8.51,54.3,45.7,1.6329113924050633,2.34,Visitante (+EV 6.9%),1.3%
2026-09-16,San Diego Padres @ Colorado Rockies,Colorado Rockies,San Diego Padres,Mason Adams,Robbie Ray,1.35,5.01,6.75,11.77,45.8,54.2,2.4,1.6024096385542168,Local (+EV 9.9%),1.8%
2026-09-16,Seattle Mariners @ Los Angeles Angels,Los Angeles Angels,Seattle Mariners,Yusei Kikuchi,George Kirby,0.96,4.07,4.17,8.57,51.3,48.7,2.2,1.704225352112676,Local (+EV 12.9%),2.7%
2026-09-16,Miami Marlins @ Arizona Diamondbacks,Arizona Diamondbacks,Miami Marlins,Merrill Kelly,Ryan Gusto,0.97,4.87,4.35,9.59,54.0,46.0,1.7462686567164178,2.1399999999999997,Sin Valor Claro,0%
